text,label
الرد على استفسارات العملاء رقم 2528,Low
نشر التحديثات الجديدة على السيرفر رقم 1078,High
اجتماع الفريق الأسبوعي رقم 2012,Medium
Update antivirus software task #1544,High
Prepare monthly KPI dashboard task #4053,Medium
Refactor legacy code task #2981,Low
Set up monitoring alerts task #4538,Medium
إرسال التقرير النهائي غداً رقم 2398,Medium
الرد على استفسارات العملاء رقم 4647,High
Prepare monthly KPI dashboard task #852,Medium
Respond to client complaints immediately task #885,High
Respond to client complaints immediately task #3545,Medium
شراء مستلزمات المكتب رقم 4438,Low
تنظيم تدقيق ربعي رقم 133,High
Weekly team sync task #3413,Low
تخطيط لحملة تسويقية رقم 374,Medium
تخطيط لحملة تسويقية رقم 4700,Medium
شكوى من العميل - يجب حلها فوراً رقم 245,High
Schedule interviews for new hires task #1831,Medium
Schedule interviews for new hires task #4045,Low
مراجعة الكود للميزة الجديدة رقم 1426,High
جدولة إجازة رقم 822,Low
Daily standup notes task #4303,Medium
تحضير عرض تقديمي للاجتماع رقم 1724,High
تحديث أمني هام جداً رقم 4768,Medium
الرد على استفسارات العملاء رقم 4364,Medium
شراء مستلزمات المكتب رقم 2478,High
تحديث مستندات المشروع رقم 4814,Medium
Prepare for board meeting task #134,Low
Submit annual financial report task #1474,Medium
شراء مستلزمات المكتب رقم 559,Medium
Submit annual financial report task #4748,High
تصحيح خطأ في بوابة الدفع رقم 1214,High
إصلاح عاجل لمشكلة في الخادم رقم 2878,High
Daily standup notes task #2394,Low
Submit annual financial report task #68,Medium
مراجعة الكود للميزة الجديدة رقم 4128,High
Create timeline for new project task #326,Low
Plan for team outing task #3134,Low
Prepare monthly KPI dashboard task #4675,Medium
Order new printers task #1745,Medium
Handle customer refund request task #3021,Medium
Prepare for board meeting task #743,Medium
جدولة إجازة رقم 685,Low
Respond to client complaints immediately task #4136,High
نشر التحديثات الجديدة على السيرفر رقم 2465,Medium
Handle customer refund request task #669,Medium
تحديث مستندات المشروع رقم 4552,Medium
Weekly team sync task #2731,Low
Handle customer refund request task #2211,Low
شراء مستلزمات المكتب رقم 3340,High
Book travel tickets for conference task #3472,Medium
التحقق من البريد الإلكتروني رقم 1455,Medium
اجتماع الفريق الأسبوعي رقم 716,Medium
Handle customer refund request task #2422,Low
إجراء نسخ احتياطي لقاعدة البيانات رقم 488,Low
Check emails task #171,Medium
تنظيم تدقيق ربعي رقم 3223,Low
مراجعة الكود للميزة الجديدة رقم 4266,High
Fix login issue reported by users task #653,High
Weekly team sync task #970,Low
Order new printers task #4905,High
جدولة إجازة رقم 3801,High
اجتماع الفريق الأسبوعي رقم 903,Medium
Refactor legacy code task #1334,Medium
نشر التحديثات الجديدة على السيرفر رقم 94,High
طلب شراء أجهزة كمبيوتر جديدة رقم 2298,High
Fix login issue reported by users task #2546,Low
طلب شراء أجهزة كمبيوتر جديدة رقم 1452,Medium
Refactor legacy code task #3710,Low
Team feedback session task #2985,High
جدولة إجازة رقم 4764,High
الرد على استفسارات العملاء رقم 2008,Medium
Create timeline for new project task #4693,High
إصلاح عاجل لمشكلة في الخادم رقم 65,High
جدولة إجازة رقم 1212,Low
تحديث مستندات المشروع رقم 2608,Medium
شكوى من العميل - يجب حلها فوراً رقم 728,High
Order new printers task #57,Medium
طلب شراء أجهزة كمبيوتر جديدة رقم 1781,High
تحديث أمني هام جداً رقم 3466,Medium
تحديث مستندات المشروع رقم 548,High
إصلاح عاجل لمشكلة في الخادم رقم 956,Low
تنظيم تدقيق ربعي رقم 1386,Medium
متابعة الفاتورة مع المورد رقم 1640,Low
التحقق من البريد الإلكتروني رقم 3270,Medium
Plan for team outing task #571,Medium
Prepare monthly KPI dashboard task #4925,High
اجتماع الفريق الأسبوعي رقم 1240,Medium
التحقق من البريد الإلكتروني رقم 4611,Low
Team feedback session task #1008,Medium
Submit annual financial report task #3532,Medium
تحديث مستندات المشروع رقم 1361,Medium
Prepare for board meeting task #4185,Low
Handle customer refund request task #2138,High
تصحيح خطأ في بوابة الدفع رقم 4039,Medium
شراء مستلزمات المكتب رقم 701,High
Set up monitoring alerts task #3614,Medium
تنظيم تدقيق ربعي رقم 4833,High
Weekly team sync task #4695,Medium
Prepare for board meeting task #1714,Low
الرد على استفسارات العملاء رقم 3451,Low
طلب شراء أجهزة كمبيوتر جديدة رقم 3736,Low
Deploy release candidate task #3483,Medium
نشر التحديثات الجديدة على السيرفر رقم 4557,Medium
Create timeline for new project task #1225,Medium
تحديث أمني هام جداً رقم 3188,Medium
شكوى من العميل - يجب حلها فوراً رقم 1322,Medium
Schedule interviews for new hires task #2674,High
Plan for team outing task #3405,Low
Daily standup notes task #3995,High
Weekly team sync task #4580,High
Fix login issue reported by users task #4970,Medium
Plan for team outing task #2242,High
جدولة إجازة رقم 448,Medium
Handle customer refund request task #738,Medium
تحديث مستندات المشروع رقم 4691,Medium
Update antivirus software task #2226,High
التحقق من البريد الإلكتروني رقم 2355,Low
نشر التحديثات الجديدة على السيرفر رقم 1671,Medium
Set up monitoring alerts task #968,Low
تنظيم تدقيق ربعي رقم 4738,High
تنظيم تدقيق ربعي رقم 1684,Medium
تنظيم تدقيق ربعي رقم 1150,Low
إرسال التقرير النهائي غداً رقم 4493,Medium
Prepare monthly KPI dashboard task #2514,Medium
Fix login issue reported by users task #42,Medium
شكوى من العميل - يجب حلها فوراً رقم 2885,Medium
Deploy release candidate task #3138,Medium
تحضير عرض تقديمي للاجتماع رقم 2734,Low
Refactor legacy code task #1516,Low
Handle customer refund request task #3188,Low
Submit annual financial report task #4494,Medium
الرد على استفسارات العملاء رقم 4908,High
Order new printers task #4286,High
مراجعة الكود للميزة الجديدة رقم 2355,Medium
Respond to client complaints immediately task #3516,Low
Set up monitoring alerts task #4802,Medium
Refactor legacy code task #2251,High
شراء مستلزمات المكتب رقم 1420,Low
Schedule interviews for new hires task #2177,Medium
مراجعة الكود للميزة الجديدة رقم 4854,High
جدولة إجازة رقم 555,Medium
Update antivirus software task #4941,Medium
إجراء نسخ احتياطي لقاعدة البيانات رقم 4644,High
جدولة إجازة رقم 194,Low
إجراء نسخ احتياطي لقاعدة البيانات رقم 3268,High
شكوى من العميل - يجب حلها فوراً رقم 1346,Low
نشر التحديثات الجديدة على السيرفر رقم 4405,Medium
تخطيط لحملة تسويقية رقم 1272,High
التحقق من البريد الإلكتروني رقم 3175,High
Fix production bug urgently task #4277,High
Plan for team outing task #263,High
اجتماع الفريق الأسبوعي رقم 2443,Medium
Set up monitoring alerts task #4223,Low
Create timeline for new project task #3278,Medium
طلب شراء أجهزة كمبيوتر جديدة رقم 1884,High
شكوى من العميل - يجب حلها فوراً رقم 1000,High
شراء مستلزمات المكتب رقم 2650,Medium
Create timeline for new project task #2498,High
Order new printers task #548,High
Refactor legacy code task #2344,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 958,High
نشاط ترفيهي للفريق الأسبوع القادم رقم 3878,High
التحقق من البريد الإلكتروني رقم 1719,Medium
إجراء نسخ احتياطي لقاعدة البيانات رقم 2010,High
اجتماع الفريق الأسبوعي رقم 3686,Medium
Deploy release candidate task #3922,Medium
Book travel tickets for conference task #752,Low
Fix production bug urgently task #2313,High
اجتماع الفريق الأسبوعي رقم 4799,Medium
Schedule interviews for new hires task #2528,Medium
تخطيط لحملة تسويقية رقم 2343,Medium
شراء مستلزمات المكتب رقم 477,Medium
إجراء نسخ احتياطي لقاعدة البيانات رقم 2306,Low
نشر التحديثات الجديدة على السيرفر رقم 1626,Medium
التحقق من البريد الإلكتروني رقم 4378,Low
Plan for team outing task #762,Medium
طلب شراء أجهزة كمبيوتر جديدة رقم 2124,High
نشر التحديثات الجديدة على السيرفر رقم 26,High
تحديث مستندات المشروع رقم 4234,High
Book travel tickets for conference task #289,Low
جدولة إجازة رقم 3571,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 1953,High
Team feedback session task #2818,High
إجراء نسخ احتياطي لقاعدة البيانات رقم 1382,High
Plan for team outing task #2833,High
إجراء نسخ احتياطي لقاعدة البيانات رقم 3804,High
Update antivirus software task #2820,High
Handle customer refund request task #2553,Medium
Book travel tickets for conference task #2899,High
Update antivirus software task #3226,Medium
التحقق من البريد الإلكتروني رقم 2454,Medium
Handle customer refund request task #1522,High
Book travel tickets for conference task #2476,Medium
تحديث أمني هام جداً رقم 966,High
إصلاح عاجل لمشكلة في الخادم رقم 1370,High
Deploy release candidate task #4292,Low
Deploy release candidate task #3760,Medium
Fix production bug urgently task #2042,High
تحضير عرض تقديمي للاجتماع رقم 4176,High
تخطيط لحملة تسويقية رقم 926,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 4244,Medium
Prepare monthly KPI dashboard task #4691,Medium
Weekly team sync task #3985,Medium
تحديث أمني هام جداً رقم 3313,High
نشر التحديثات الجديدة على السيرفر رقم 2406,Medium
Book travel tickets for conference task #951,Medium
إرسال التقرير النهائي غداً رقم 991,High
شراء مستلزمات المكتب رقم 351,Low
Prepare for board meeting task #3537,Medium
Fix production bug urgently task #4463,Low
تحديث مستندات المشروع رقم 4109,Low
Handle customer refund request task #2877,High
مراجعة الكود للميزة الجديدة رقم 3480,Low
إصلاح عاجل لمشكلة في الخادم رقم 3098,Low
نشاط ترفيهي للفريق الأسبوع القادم رقم 3367,High
Weekly team sync task #789,Low
Refactor legacy code task #69,Medium
Weekly team sync task #4124,Medium
Prepare monthly KPI dashboard task #4991,Medium
شكوى من العميل - يجب حلها فوراً رقم 2265,High
Book travel tickets for conference task #1365,Medium
إصلاح عاجل لمشكلة في الخادم رقم 1590,Low
طلب شراء أجهزة كمبيوتر جديدة رقم 1471,High
Handle customer refund request task #926,Low
تحضير عرض تقديمي للاجتماع رقم 4499,High
إصلاح عاجل لمشكلة في الخادم رقم 3750,High
Submit annual financial report task #415,Low
تحديث أمني هام جداً رقم 2472,High
تحديث أمني هام جداً رقم 1304,Low
Plan for team outing task #4415,Medium
Handle customer refund request task #4663,High
Prepare monthly KPI dashboard task #2634,Medium
Fix login issue reported by users task #851,Medium
تصحيح خطأ في بوابة الدفع رقم 4910,High
إجراء نسخ احتياطي لقاعدة البيانات رقم 3429,Medium
Fix login issue reported by users task #4704,High
Team feedback session task #2512,Medium
Deploy release candidate task #2306,Low
Prepare for board meeting task #1486,High
Set up monitoring alerts task #4652,Medium
Create timeline for new project task #4244,High
Refactor legacy code task #4374,Medium
Prepare monthly KPI dashboard task #943,Medium
تصحيح خطأ في بوابة الدفع رقم 120,Medium
التحقق من البريد الإلكتروني رقم 3664,Medium
تنظيم تدقيق ربعي رقم 679,Low
التحقق من البريد الإلكتروني رقم 4242,Medium
إصلاح عاجل لمشكلة في الخادم رقم 1064,High
نشاط ترفيهي للفريق الأسبوع القادم رقم 2568,High
تخطيط لحملة تسويقية رقم 3996,Medium
Fix login issue reported by users task #175,High
تحديث أمني هام جداً رقم 2114,High
Submit annual financial report task #4537,Medium
متابعة الفاتورة مع المورد رقم 454,High
Fix production bug urgently task #2323,Medium
Update antivirus software task #760,Medium
جدولة إجازة رقم 4432,Low
شكوى من العميل - يجب حلها فوراً رقم 3484,Low
تحديث أمني هام جداً رقم 4529,Medium
Weekly team sync task #1757,Medium
تصحيح خطأ في بوابة الدفع رقم 4802,High
جدولة إجازة رقم 3954,Low
الرد على استفسارات العملاء رقم 2479,High
الرد على استفسارات العملاء رقم 676,Low
شراء مستلزمات المكتب رقم 458,Medium
Deploy release candidate task #1664,Low
تحديث أمني هام جداً رقم 3111,Low
تخطيط لحملة تسويقية رقم 1343,Medium
Fix production bug urgently task #4819,High
Book travel tickets for conference task #3054,High
التحقق من البريد الإلكتروني رقم 889,High
Weekly team sync task #436,Medium
Refactor legacy code task #3741,Low
نشر التحديثات الجديدة على السيرفر رقم 1421,High
إجراء نسخ احتياطي لقاعدة البيانات رقم 507,Medium
Update antivirus software task #786,High
تحديث أمني هام جداً رقم 4391,Medium
Set up monitoring alerts task #2183,Medium
Prepare for board meeting task #1172,High
Update antivirus software task #303,High
Refactor legacy code task #1908,Medium
Submit annual financial report task #1494,Low
نشر التحديثات الجديدة على السيرفر رقم 2743,Medium
إرسال التقرير النهائي غداً رقم 4679,High
Fix production bug urgently task #4997,Low
Prepare for board meeting task #4379,High
Refactor legacy code task #2819,Medium
نشر التحديثات الجديدة على السيرفر رقم 3810,Medium
طلب شراء أجهزة كمبيوتر جديدة رقم 1416,Medium
Fix login issue reported by users task #3599,High
تصحيح خطأ في بوابة الدفع رقم 955,Low
طلب شراء أجهزة كمبيوتر جديدة رقم 88,Medium
تصحيح خطأ في بوابة الدفع رقم 1650,Medium
Prepare monthly KPI dashboard task #613,Low
Refactor legacy code task #4412,High
Weekly team sync task #1453,Medium
Create timeline for new project task #893,Medium
Handle customer refund request task #3994,Medium
التحقق من البريد الإلكتروني رقم 288,High
Prepare monthly KPI dashboard task #3703,Medium
Prepare monthly KPI dashboard task #4153,Low
Respond to client complaints immediately task #3458,Medium
تحديث مستندات المشروع رقم 2151,Low
Handle customer refund request task #2014,Low
إرسال التقرير النهائي غداً رقم 210,High
Order new printers task #4420,High
تحضير عرض تقديمي للاجتماع رقم 4356,High
Prepare for board meeting task #647,Medium
Update antivirus software task #1948,Medium
تنظيم تدقيق ربعي رقم 143,Low
Weekly team sync task #3977,Medium
مراجعة الكود للميزة الجديدة رقم 516,Medium
Update antivirus software task #2943,Medium
شكوى من العميل - يجب حلها فوراً رقم 2363,Medium
تحديث مستندات المشروع رقم 2857,Medium
Check emails task #4656,Medium
تصحيح خطأ في بوابة الدفع رقم 1598,Medium
Fix login issue reported by users task #1309,Medium
طلب شراء أجهزة كمبيوتر جديدة رقم 3624,Medium
التحقق من البريد الإلكتروني رقم 62,Low
Set up monitoring alerts task #2085,High
إرسال التقرير النهائي غداً رقم 3047,High
تخطيط لحملة تسويقية رقم 1648,Medium
Update antivirus software task #3760,Low
طلب شراء أجهزة كمبيوتر جديدة رقم 1924,Medium
Daily standup notes task #1599,High
Prepare monthly KPI dashboard task #1930,Medium
تحديث مستندات المشروع رقم 4132,Low
Deploy release candidate task #1603,Medium
Deploy release candidate task #4312,Medium
شكوى من العميل - يجب حلها فوراً رقم 1295,Medium
Handle customer refund request task #2866,Low
متابعة الفاتورة مع المورد رقم 979,High
Team feedback session task #3164,Medium
Fix production bug urgently task #2963,Medium
إصلاح عاجل لمشكلة في الخادم رقم 4020,Low
Order new printers task #2754,Medium
Check emails task #1616,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 3316,Medium
مراجعة الكود للميزة الجديدة رقم 4018,High
Update antivirus software task #4027,Medium
تحديث أمني هام جداً رقم 3165,Low
Deploy release candidate task #3361,Medium
Create timeline for new project task #2529,Medium
Schedule interviews for new hires task #741,High
التحقق من البريد الإلكتروني رقم 1736,Low
Respond to client complaints immediately task #301,Low
Weekly team sync task #3303,Medium
تنظيم تدقيق ربعي رقم 59,Medium
Refactor legacy code task #3554,Medium
نشر التحديثات الجديدة على السيرفر رقم 3531,Medium
تصحيح خطأ في بوابة الدفع رقم 4465,High
الرد على استفسارات العملاء رقم 2884,Low
Order new printers task #1683,Low
الرد على استفسارات العملاء رقم 2627,High
Book travel tickets for conference task #4953,Medium
تحديث مستندات المشروع رقم 1143,Medium
Update antivirus software task #4198,High
Daily standup notes task #2989,Medium
تحضير عرض تقديمي للاجتماع رقم 2416,Medium
Handle customer refund request task #457,High
تنظيم تدقيق ربعي رقم 668,Medium
إجراء نسخ احتياطي لقاعدة البيانات رقم 1862,Medium
Prepare for board meeting task #1490,Low
Team feedback session task #152,Medium
التحقق من البريد الإلكتروني رقم 1644,Medium
الرد على استفسارات العملاء رقم 347,Low
Fix production bug urgently task #4840,Medium
Prepare monthly KPI dashboard task #2738,Low
إجراء نسخ احتياطي لقاعدة البيانات رقم 3423,High
Prepare for board meeting task #2027,High
Weekly team sync task #891,High
Respond to client complaints immediately task #3903,High
Refactor legacy code task #843,High
Refactor legacy code task #2439,Medium
Fix production bug urgently task #2143,Low
Fix login issue reported by users task #927,High
تصحيح خطأ في بوابة الدفع رقم 1233,High
طلب شراء أجهزة كمبيوتر جديدة رقم 3108,High
Team feedback session task #3360,Medium
Order new printers task #4189,Medium
Update antivirus software task #4610,High
Fix production bug urgently task #1737,High
التحقق من البريد الإلكتروني رقم 2759,Low
Refactor legacy code task #2786,Low
Schedule interviews for new hires task #3537,Low
Daily standup notes task #3325,Low
التحقق من البريد الإلكتروني رقم 3379,Medium
Respond to client complaints immediately task #624,Low
شكوى من العميل - يجب حلها فوراً رقم 60,Medium
Set up monitoring alerts task #923,Low
اجتماع الفريق الأسبوعي رقم 1827,Medium
Daily standup notes task #3644,Medium
Weekly team sync task #402,Medium
نشر التحديثات الجديدة على السيرفر رقم 819,Medium
Book travel tickets for conference task #2875,Low
شكوى من العميل - يجب حلها فوراً رقم 2396,High
التحقق من البريد الإلكتروني رقم 2115,Low
Order new printers task #3246,High
تنظيم تدقيق ربعي رقم 1844,Low
Submit annual financial report task #3878,High
التحقق من البريد الإلكتروني رقم 4801,Low
تحديث مستندات المشروع رقم 2547,Medium
متابعة الفاتورة مع المورد رقم 2571,Low
Daily standup notes task #2023,High
Book travel tickets for conference task #3004,High
اجتماع الفريق الأسبوعي رقم 4427,Medium
الرد على استفسارات العملاء رقم 2501,Medium
Fix login issue reported by users task #3787,Medium
اجتماع الفريق الأسبوعي رقم 2583,Medium
إصلاح عاجل لمشكلة في الخادم رقم 4736,Low
Deploy release candidate task #2715,Low
Refactor legacy code task #2643,High
Set up monitoring alerts task #3849,High
تحديث مستندات المشروع رقم 1483,High
تخطيط لحملة تسويقية رقم 3483,Medium
Respond to client complaints immediately task #774,Medium
شراء مستلزمات المكتب رقم 364,Medium
Respond to client complaints immediately task #3076,Low
Handle customer refund request task #4526,High
Schedule interviews for new hires task #50,Medium
Daily standup notes task #2058,High
Submit annual financial report task #1538,High
إصلاح عاجل لمشكلة في الخادم رقم 2662,Low
نشاط ترفيهي للفريق الأسبوع القادم رقم 162,Medium
التحقق من البريد الإلكتروني رقم 2881,Medium
Fix production bug urgently task #4684,Medium
طلب شراء أجهزة كمبيوتر جديدة رقم 1714,Medium
Fix production bug urgently task #99,Medium
نشر التحديثات الجديدة على السيرفر رقم 3533,Low
مراجعة الكود للميزة الجديدة رقم 3584,High
Team feedback session task #4025,High
تحديث أمني هام جداً رقم 2233,High
Daily standup notes task #2875,Low
اجتماع الفريق الأسبوعي رقم 2519,Medium
Handle customer refund request task #1067,High
Respond to client complaints immediately task #859,Medium
Respond to client complaints immediately task #2487,High
Prepare monthly KPI dashboard task #4919,Medium
التحقق من البريد الإلكتروني رقم 2019,High
نشاط ترفيهي للفريق الأسبوع القادم رقم 3945,High
Order new printers task #309,Low
Weekly team sync task #1364,Medium
تنظيم تدقيق ربعي رقم 472,Medium
Set up monitoring alerts task #1468,Medium
Create timeline for new project task #3071,Medium
Respond to client complaints immediately task #3920,High
تحضير عرض تقديمي للاجتماع رقم 2685,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 1530,Low
Respond to client complaints immediately task #4833,Medium
Check emails task #3323,Medium
مراجعة الكود للميزة الجديدة رقم 4725,Medium
Book travel tickets for conference task #299,High
Update antivirus software task #472,Medium
Weekly team sync task #2395,High
تخطيط لحملة تسويقية رقم 1785,Medium
Daily standup notes task #917,Medium
Fix login issue reported by users task #3860,High
Daily standup notes task #4674,High
نشر التحديثات الجديدة على السيرفر رقم 1115,High
Refactor legacy code task #4526,Low
Check emails task #3428,High
تحديث مستندات المشروع رقم 3921,Medium
Prepare for board meeting task #757,Low
Respond to client complaints immediately task #197,Medium
Refactor legacy code task #2541,Medium
جدولة إجازة رقم 259,Medium
مراجعة الكود للميزة الجديدة رقم 1664,Low
التحقق من البريد الإلكتروني رقم 201,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 326,Medium
Check emails task #4747,Low
Team feedback session task #2539,High
Team feedback session task #2650,High
Create timeline for new project task #1250,Medium
إجراء نسخ احتياطي لقاعدة البيانات رقم 625,Medium
نشر التحديثات الجديدة على السيرفر رقم 4819,High
مراجعة الكود للميزة الجديدة رقم 1831,High
إرسال التقرير النهائي غداً رقم 1565,High
Fix production bug urgently task #2034,Medium
شكوى من العميل - يجب حلها فوراً رقم 3390,Low
Plan for team outing task #3549,Low
تحديث أمني هام جداً رقم 3369,Medium
نشر التحديثات الجديدة على السيرفر رقم 1618,Medium
مراجعة الكود للميزة الجديدة رقم 1898,Medium
اجتماع الفريق الأسبوعي رقم 961,Medium
Update antivirus software task #424,Low
تخطيط لحملة تسويقية رقم 1533,High
إصلاح عاجل لمشكلة في الخادم رقم 781,Medium
تحديث مستندات المشروع رقم 2389,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 2273,Medium
إرسال التقرير النهائي غداً رقم 1989,High
الرد على استفسارات العملاء رقم 3887,Medium
شكوى من العميل - يجب حلها فوراً رقم 2489,Medium
تصحيح خطأ في بوابة الدفع رقم 2723,Medium
إرسال التقرير النهائي غداً رقم 362,Medium
Check emails task #1008,Medium
Deploy release candidate task #3348,Medium
Daily standup notes task #3961,High
شراء مستلزمات المكتب رقم 2006,High
Update antivirus software task #4791,Medium
اجتماع الفريق الأسبوعي رقم 3105,Medium
Prepare for board meeting task #3965,High
تحضير عرض تقديمي للاجتماع رقم 2947,High
Book travel tickets for conference task #28,Medium
إجراء نسخ احتياطي لقاعدة البيانات رقم 1133,Medium
تحديث مستندات المشروع رقم 3931,Medium
Plan for team outing task #1854,Low
تحديث مستندات المشروع رقم 870,Medium
Prepare monthly KPI dashboard task #2271,Medium
تنظيم تدقيق ربعي رقم 4204,Low
متابعة الفاتورة مع المورد رقم 928,Medium
تخطيط لحملة تسويقية رقم 4960,Medium
Team feedback session task #3330,High
شراء مستلزمات المكتب رقم 1252,Medium
شكوى من العميل - يجب حلها فوراً رقم 525,Medium
Weekly team sync task #2667,Low
Book travel tickets for conference task #4812,High
نشاط ترفيهي للفريق الأسبوع القادم رقم 1113,Medium
تصحيح خطأ في بوابة الدفع رقم 3551,High
Create timeline for new project task #93,Low
مراجعة الكود للميزة الجديدة رقم 2164,Medium
Order new printers task #4510,Medium
Check emails task #2480,High
إصلاح عاجل لمشكلة في الخادم رقم 2172,High
التحقق من البريد الإلكتروني رقم 2481,Medium
Schedule interviews for new hires task #4741,Medium
إرسال التقرير النهائي غداً رقم 277,Low
Fix production bug urgently task #2119,High
مراجعة الكود للميزة الجديدة رقم 1402,Low
جدولة إجازة رقم 2964,Medium
Submit annual financial report task #1662,Medium
Set up monitoring alerts task #1772,Low
Fix production bug urgently task #3016,High
مراجعة الكود للميزة الجديدة رقم 4623,High
نشاط ترفيهي للفريق الأسبوع القادم رقم 2216,High
شكوى من العميل - يجب حلها فوراً رقم 3120,High
Check emails task #3994,Medium
Check emails task #2674,Medium
Fix login issue reported by users task #535,Medium
Fix production bug urgently task #4337,Medium
إجراء نسخ احتياطي لقاعدة البيانات رقم 1285,Medium
Order new printers task #602,Medium
Schedule interviews for new hires task #1334,Medium
